"country","year","emissions"
"Belarus","X2010",6.96
"Belarus","X2011",7.58
"Belarus","X2012",7.75
"Belarus","X2013",7.81
"Belarus","X2014",7.72
"Belarus","X2015",7.22
"Belarus","X2016",6.61
"Belarus","X2017",6.76
"Belarus","X2018",7.07
"Belarus","X2019",6.94
"Belgium","X1990",12.73
"Belgium","X1991",13.17
"Belgium","X1992",12.92
"Belgium","X1993",12.66
"Belgium","X1994",13.15
"Belgium","X1995",13.13
"Belgium","X1996",13.64
"Belgium","X1997",13.29
"Belgium","X1998",13.53
"Belgium","X1999",13.12
"Belgium","X2000",13.1
"Belgium","X2001",13.19
"Belgium","X2002",12.42
"Belgium","X2003",12.7
"Belgium","X2004",12.5
"Belgium","X2005",12.08
"Belgium","X2006",11.71
"Belgium","X2007",11.19
"Belgium","X2008",11.31
"Belgium","X2009",10.57
"Belgium","X2010",11.17
"Belgium","X2011",10.04
"Belgium","X2012",9.86
"Belgium","X2013",9.9
"Belgium","X2014",9.29
"Belgium","X2015",9.67
"Belgium","X2016",9.75
"Belgium","X2017",9.54
"Belgium","X2018",9.56
"Belgium","X2019",9.42
"Belize","X1990",70.26
"Belize","X1991",70.06
"Belize","X1992",70.04
"Belize","X1993",69.2
"Belize","X1994",68.34
"Belize","X1995",61.33
"Belize","X1996",53.95
"Belize","X1997",47.57
"Belize","X1998",41.52
"Belize","X1999",35.16
"Belize","X2000",29.88
"Belize","X2001",16.19
"Belize","X2002",16.15
"Belize","X2003",16.59
"Belize","X2004",14.67
"Belize","X2005",14.78
"Belize","X2006",14.52
"Belize","X2007",14.77
"Belize","X2008",14.27
"Belize","X2009",17.19
"Belize","X2010",14.17
"Belize","X2011",21.87
"Belize","X2012",20.37
"Belize","X2013",19.86
"Belize","X2014",19.13
"Belize","X2015",19.38
"Belize","X2016",18.33
"Belize","X2017",18.11
"Belize","X2018",17.6
"Belize","X2019",17.55
"Benin","X1990",3.96
"Benin","X1991",3.85
"Benin","X1992",3.74
"Benin","X1993",3.62
"Benin","X1994",3.54
"Benin","X1995",3.39
"Benin","X1996",3.52
"Benin","X1997",3.47
"Benin","X1998",3.53
"Benin","X1999",3.4
"Benin","X2000",3.32
"Benin","X2001",2.44
"Benin","X2002",2.51
"Benin","X2003",2.43
"Benin","X2004",2.37
"Benin","X2005",2.45
"Benin","X2006",2.4
"Benin","X2007",2.42
"Benin","X2008",2.32
"Benin","X2009",2.32
"Benin","X2010",2.3
"Benin","X2011",2.25
"Benin","X2012",2.18
"Benin","X2013",2.19
"Benin","X2014",2.18
"Benin","X2015",2.16
"Benin","X2016",2.26
"Benin","X2017",2.21
"Benin","X2018",2.25
"Benin","X2019",2.18
"Bhutan","X1990",-10.97
"Bhutan","X1991",-10.8
"Bhutan","X1992",-10.89
"Bhutan","X1993",-10.91
"Bhutan","X1994",-10.91
"Bhutan","X1995",-10.7
"Bhutan","X1996",-10.54
"Bhutan","X1997",-10.36
"Bhutan","X1998",-10.1
"Bhutan","X1999",-9.77
"Bhutan","X2000",-9.65
"Bhutan","X2001",-9.52
"Bhutan","X2002",-9.32
"Bhutan","X2003",-9.12
"Bhutan","X2004",-8.89
"Bhutan","X2005",-8.58
"Bhutan","X2006",-8.49
"Bhutan","X2007",-8.28
"Bhutan","X2008",-8.45
"Bhutan","X2009",-8.27
"Bhutan","X2010",-8.01
"Bhutan","X2011",-0.05
"Bhutan","X2012",0.09
"Bhutan","X2013",0.04
"Bhutan","X2014",0.08
"Bhutan","X2015",0.15
"Bhutan","X2016",0.35
"Bhutan","X2017",0.4
