"climate_awareness","Country","Number"
"I know a lot about it","Hungary",36.83381664
"I know a lot about it","India",18.10934337
"I know a lot about it","Indonesia",16.4794036
"I know a lot about it","Iraq",9.880422672
"I know a lot about it","Ireland",19.27564765
"I know a lot about it","Israel",12.86870651
"I know a lot about it","Italy",10.59478585
"I know a lot about it","Jamaica",8.835953496
"I know a lot about it","Japan",10.89639737
"I know a lot about it","Jordan",9.438390256
"I know a lot about it","Kenya",11.38908199
"I know a lot about it","Kosovo",8.441259856
"I know a lot about it","Kuwait",12.42346661
"I know a lot about it","Lao.People.s.Democratic.Republic",8.570941383
"I know a lot about it","Lebanon",9.547539238
"I know a lot about it","Libya",6.353398055
"I know a lot about it","Lithuania",20.18136334
"I know a lot about it","Malawi",29.43413298
"I know a lot about it","Malaysia",7.397927788
"I know a lot about it","Mexico",6.756609816
"I know a lot about it","Morocco",14.12882845
"I know a lot about it","Mozambique",6.297916235
"I know a lot about it","Nepal",18.42824197
"I know a lot about it","Netherlands",11.24784324
"I know a lot about it","New.Zealand",14.8256835
"I know a lot about it","Nicaragua",5.481645736
"I know a lot about it","Nigeria",9.640704268
"I know a lot about it","North.MAcedonia",13.77901375
"I know a lot about it","Norway",22.36780328
"I know a lot about it","Oman",13.53351429
"I know a lot about it","Pakistan",15.91200268
"I know a lot about it","Panama",7.01161592
"I know a lot about it","Paraguay",8.443560091
"I know a lot about it","Peru",8.316454429
"I know a lot about it","Philippines",21.77581177
"I know a lot about it","Poland",11.10577665
"I know a lot about it","Portugal",12.67207359
"I know a lot about it","Puerto.Rico",12.12777346
"I know a lot about it","Qatar",16.86972397
"I know a lot about it","Romania",16.93608088
"I know a lot about it","Saudi.Arabia",13.69533229
"I know a lot about it","Senegal",18.56757992
"I know a lot about it","Serbia",15.22606996
"I know a lot about it","Singapore",17.13333364
"I know a lot about it","Slovakia",11.66280095
"I know a lot about it","South.Africa",13.44850054
"I know a lot about it","South.Korea",11.55951618
"I know a lot about it","Spain",9.083486475
"I know a lot about it","Sri.Lanka",15.68171505
"I know a lot about it","Sub.Saharan.Africa",13.65228752
"I know a lot about it","Sweden",14.5975657
"I know a lot about it","Switzerland",27.01315819
"I know a lot about it","Taiwan",9.075045235
"I know a lot about it","Tanzania",14.57631217
"I know a lot about it","Thailand",3.575839995
"I know a lot about it","Trinidad.and.Tobago",10.55828146
"I know a lot about it","Tunisia",14.42953086
"I know a lot about it","Turkey",15.61185988
"I know a lot about it","United.Arab.Emirates",16.15038916
"I know a lot about it","United.Kingdom",18.77745106
"I know a lot about it","United.States",22.96231023
"I know a lot about it","Uruguay",10.59883131
"I know a lot about it","Uzbekistan",6.92646497
"I know a lot about it","Vietnam",16.95160564
"I know a lot about it","Yemen",9.110038752
"I know a lot about it","Zambia",19.91036216
"Refused","Albania",3.247361376
"Refused","Algeria",2.154385371
"Refused","Angola",3.289108173
"Refused","Argentina",0.695726539
